"trial","period","fill_id","order_id","market","side","outcome","quantity","gross_usd","fees_usd","timestamp"
"bd8f2c3decf84bcb2ac0","ajuste","sim:573fcac070379997467400de0296f24c:YES","573fcac070379997467400de0296f24c:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:01.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:573fcac070379997467400de0296f24c:NO","573fcac070379997467400de0296f24c:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:02.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:73f04b483f64f1707eec0385e06bf252:YES","73f04b483f64f1707eec0385e06bf252:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:03.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:73f04b483f64f1707eec0385e06bf252:NO","73f04b483f64f1707eec0385e06bf252:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:04.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:aa68306a345c44fe31032d2c7e7817cb:YES","aa68306a345c44fe31032d2c7e7817cb:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:05.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:aa68306a345c44fe31032d2c7e7817cb:NO","aa68306a345c44fe31032d2c7e7817cb:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:06.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:0b0d4fd117738af3548878d5bb792c9a:YES","0b0d4fd117738af3548878d5bb792c9a:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:07.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:0b0d4fd117738af3548878d5bb792c9a:exit:YES:767a5fe509fb","0b0d4fd117738af3548878d5bb792c9a:exit:YES:767a5fe509fb","demo-market","SELL","YES","15","7.35","0.07497","2026-01-01T00:00:09.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:8d3c6548135f6017ff2b9a6008a4ab4a:YES","8d3c6548135f6017ff2b9a6008a4ab4a:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:25.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:8d3c6548135f6017ff2b9a6008a4ab4a:NO","8d3c6548135f6017ff2b9a6008a4ab4a:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:26.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:b08594c2ebf3b49ec491a5ace9929a88:YES","b08594c2ebf3b49ec491a5ace9929a88:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:27.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:b08594c2ebf3b49ec491a5ace9929a88:NO","b08594c2ebf3b49ec491a5ace9929a88:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:28.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:d45e46ce125fd9a4928d34228873d449:YES","d45e46ce125fd9a4928d34228873d449:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:29.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:d45e46ce125fd9a4928d34228873d449:NO","d45e46ce125fd9a4928d34228873d449:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:30.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:7277dcc4b3136afc89aea077b3b28e90:YES","7277dcc4b3136afc89aea077b3b28e90:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:31.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:7277dcc4b3136afc89aea077b3b28e90:exit:YES:97e78bf335a0","7277dcc4b3136afc89aea077b3b28e90:exit:YES:97e78bf335a0","demo-market","SELL","YES","15","7.35","0.07497","2026-01-01T00:00:33.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:5ddd460f2019fcd4f8c742a3595e5b14:YES","5ddd460f2019fcd4f8c742a3595e5b14:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:49.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:5ddd460f2019fcd4f8c742a3595e5b14:NO","5ddd460f2019fcd4f8c742a3595e5b14:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:50.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:e324f9e7af65678beddf2e16fa7991e5:YES","e324f9e7af65678beddf2e16fa7991e5:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:51.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:e324f9e7af65678beddf2e16fa7991e5:NO","e324f9e7af65678beddf2e16fa7991e5:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:52.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:ae9d219e94b79d62ecaf030b5dafa412:YES","ae9d219e94b79d62ecaf030b5dafa412:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:53.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:ae9d219e94b79d62ecaf030b5dafa412:NO","ae9d219e94b79d62ecaf030b5dafa412:NO","demo-market","BUY","NO","15","7.35","0.07497","2026-01-01T00:00:54.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:74a2831b2ce549a4c9d306fe4f492c24:YES","74a2831b2ce549a4c9d306fe4f492c24:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:00:55.000Z"
"bd8f2c3decf84bcb2ac0","ajuste","sim:74a2831b2ce549a4c9d306fe4f492c24:exit:YES:a51bb71a29cf","74a2831b2ce549a4c9d306fe4f492c24:exit:YES:a51bb71a29cf","demo-market","SELL","YES","15","7.35","0.07497","2026-01-01T00:00:57.000Z"
"cb48be486f6c9ea06b47","evaluación","sim:30531eeca6beecd0d9dd77109082e63b:YES","30531eeca6beecd0d9dd77109082e63b:YES","demo-market","BUY","YES","15","6.6","0.07392","2026-01-01T00:01:13.000Z"
