"Partido / título conservado","Pata","Probabilidad","Precio","Comisión entrada","Actual neto / USD","Hold oficial / USD","Stop observado / USD","Muestras","Mayor hueco / min"
"Will Parma Calcio 1913 win on 2026-09-06?","YES","0.507863","0.370000","0.30478","'-10.00041","'-10.00041","'-1.12524","3001","37"
"Will Everton FC win on 2026-09-06?","YES","0.391082","0.280000","0.34343","'-9.90414","'-9.90414","'-1.01989","3013","37"
"Will Eintracht Frankfurt win on 2026-09-06?","YES","0.570422","0.500000","0.23825","3.08703","undefined","undefined","3144","37"
"Will FC Barcelona win on 2026-09-06?","NO","0.336502","0.250000","0.35316","'-9.78784","'-9.78784","'-1.07341","3408","37"
"Will CF Cruz Azul win on 2026-09-06?","YES","0.799401","0.700000","0.14154","1.93411","undefined","'-0.96888","5699","37"
"Will SS Lazio win on 2026-09-07?","YES","0.438763","0.370000","0.29114","'-1.07489","undefined","'-1.07489","6013","37"
"Will Elche CF win on 2026-09-07?","YES","0.440124","0.330000","0.30622","'-1.69939","undefined","'-1.15500","6015","37"
"Will Pumas de la UNAM win on 2026-09-06?","YES","0.564181","0.470000","0.18683","'-0.67246","undefined","undefined","6028","37"
"Will Venezia FC win on 2026-09-11?","NO","0.761368","0.660000","0.15506","'-0.45046","undefined","undefined","6026","37"
"Will Club Necaxa win on 2026-09-11?","YES","0.623562","0.490000","0.22941","'-1.00824","undefined","'-1.35721","6026","37"
"Will Club Tijuana win on 2026-09-11?","YES","0.564217","0.480000","0.12255","'-0.53867","undefined","'-0.63633","6026","37"
